title: 『生活大爆炸』1一12季1080，无删减，速度来取整理好了 	 link: http://tieba.baidu.com//p/7252554072 	 name: 我是大哥... 	 time: 3-7 	 replayNum: 155
title: 拾麦商城的优惠方式跟拼多多比谁大？ 	 link: http://tieba.baidu.com//p/7255179449 	 name: ubymaz 	 time: 3-10 	 replayNum: 1
title: 父母在自己房间里安摄像头怎么办？ 	 link: http://tieba.baidu.com//p/5040818134 	 name: 哈哈冰淇... 	 time: 2017-03 	 replayNum: 18
title: 有谁注意到他了 	 link: http://tieba.baidu.com//p/7244104494 	 name: yancey12138105 	 time: 2-28 	 replayNum: 4
title: 这是〈少年谢耳朵〉最新季最新一集谢耳朵在毕业派对说的话。 	 link: http://tieba.baidu.com//p/7071596614 	 name: 秧歌star 	 time: 2020-11 	 replayNum: 10
title: 【生活大爆炸】1-12季度全 集 完整的，已 整理好 	 link: http://tieba.baidu.com//p/7256136523 	 name: 等一个人... 	 time: 3-10 	 replayNum: 3
title: 分享：【本地交流】卖地没人管 	 link: http://tieba.baidu.com//p/7255910647 	 name: WC独孤一人 	 time: 3-10 	 replayNum: 0
title: 不忘初心，服务人民！这就是“荣盛发展”！ 	 link: http://tieba.baidu.com//p/7255146322 	 name: 青春之帆 	 time: 3-9 	 replayNum: 7
title: 配音 	 link: http://tieba.baidu.com//p/3707003287 	 name: sunny易新 	 time: 2015-04 	 replayNum: 10
title: 霍华德。他母亲是做什么的？为什么家里这么有钱？ 	 link: http://tieba.baidu.com//p/7198735052 	 name: 源滚木头 	 time: 1-19 	 replayNum: 1
title: son of biscuit！ 	 link: http://tieba.baidu.com//p/3517787925 	 name: OnePiece593799 	 time: 2015-01 	 replayNum: 28
title: 练听力刷了四遍了，越来越讨厌AMY，怎么继续！ 	 link: http://tieba.baidu.com//p/7237685278 	 name: 爽朗的麦... 	 time: 2-23 	 replayNum: 1
title: 来说说大爆炸被禁的原因 	 link: http://tieba.baidu.com//p/3008904193 	 name: 我可是个... 	 time: 2014-04 	 replayNum: 26
title: 哈哈哈哈哈看看我发现了谁 	 link: http://tieba.baidu.com//p/7236426569 	 name: love恋Richie 	 time: 2-22 	 replayNum: 3
title: 断断续续追了好几年的生活大爆炸当Sheldon跨两个城市去找 	 link: http://tieba.baidu.com//p/7250159541 	 name: ihk313 	 time: 3-5 	 replayNum: 0
title: S活大爆炸整理好 	 link: http://tieba.baidu.com//p/7250002370 	 name: 1469053946KZ 	 time: 3-5 	 replayNum: 0
title: 霍华德写给伯纳黛特的歌居然是她俩写的？！ 	 link: http://tieba.baidu.com//p/2694726964 	 name: 张雅岚吱吱 	 time: 2013-11 	 replayNum: 35
title: S活大爆炸整理好 	 link: http://tieba.baidu.com//p/7249863444 	 name: 1469053946KZ 	 time: 3-5 	 replayNum: 0
title: 眼熟否 	 link: http://tieba.baidu.com//p/7245844286 	 name: 温山软水... 	 time: 3-2 	 replayNum: 1
title: 请问一下各位 	 link: http://tieba.baidu.com//p/7244685679 	 name: 飛雲2004 	 time: 3-1 	 replayNum: 1
title: 男主角的事业 	 link: http://tieba.baidu.com//p/7220686211 	 name: 第十三支... 	 time: 2-7 	 replayNum: 10
title: 有一集将寻宝的为什么说硅是地表含量最丰富的，难道不是氧吗 	 link: http://tieba.baidu.com//p/7236240041 	 name: jack求神 	 time: 2-22 	 replayNum: 2
title: 吧友有沉迷网络游戏的经历吗？ 	 link: http://tieba.baidu.com//p/7241479565 	 name: 第十三支... 	 time: 2-26 	 replayNum: 2
title: 期待出上一两集特别版 	 link: http://tieba.baidu.com//p/7245943375 	 name: 爱国爱桓台 	 time: 3-2 	 replayNum: 0
title: Emily的衣柜里到底有啥！ 	 link: http://tieba.baidu.com//p/3622498359 	 name: 雪若文_ 	 time: 2015-03 	 replayNum: 53
title: 谢耳朵的儿子叫莱纳德•库珀 	 link: http://tieba.baidu.com//p/7074083656 	 name: SG的大抗 	 time: 2020-11 	 replayNum: 15
title: 自我推荐美剧同人小说《混在美剧的金装律师》 	 link: http://tieba.baidu.com//p/7244033059 	 name: yancey12138105 	 time: 2-28 	 replayNum: 0
title: 有人看过《小谢尔顿》吗?第一季第六集最后时间闪到2016年， 	 link: http://tieba.baidu.com//p/5914065415 	 name: 极乐之国 	 time: 2018-10 	 replayNum: 11
title: 谢尔顿好可爱啊 	 link: http://tieba.baidu.com//p/7238174705 	 name: 天天睡不... 	 time: 2-23 	 replayNum: 11
title: 大学不合群怎么办？ 	 link: http://tieba.baidu.com//p/7094625303 	 name: 清欢soul 	 time: 2020-11 	 replayNum: 4
title: 不知道你们有留意过每集片尾的编剧留言没 	 link: http://tieba.baidu.com//p/5794429785 	 name: 指南 	 time: 2018-07 	 replayNum: 55
title: 求照片 	 link: http://tieba.baidu.com//p/7238269986 	 name: 幸好 	 time: 2-24 	 replayNum: 1
title: 求助吧友，有关有一集谢尔顿的幻想 	 link: http://tieba.baidu.com//p/7199910251 	 name: Venator48 	 time: 1-20 	 replayNum: 2
title: 笑死我了，霍华德他妈 	 link: http://tieba.baidu.com//p/7238313191 	 name: 许泽梁 	 time: 2-24 	 replayNum: 0
title: 为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 link: http://tieba.baidu.com//p/5017387510 	 name: 絮灵儿 	 time: 2017-03 	 replayNum: 44
title: 生活大爆炸有一集佩妮给谢尔顿做了一个新发型，请问这个发型叫什 	 link: http://tieba.baidu.com//p/7132347246 	 name: 超级极品... 	 time: 2020-12 	 replayNum: 5
title: 看到s12e23的前情提要，忍不住哭了。 	 link: http://tieba.baidu.com//p/7229814619 	 name: 728 	 time: 2-16 	 replayNum: 5
title: 耳朵带的表是什么款的？ 	 link: http://tieba.baidu.com//p/4710108348 	 name: baiyunghh 	 time: 2016-08 	 replayNum: 5
title: TBBT你最喜欢的一幕 	 link: http://tieba.baidu.com//p/4022489428 	 name: 髣髴烟雨 	 time: 2015-09 	 replayNum: 674
title: 为什么是 卡蕾·措科 和  约翰尼·盖尔克奇 每天去和观众打招呼？ 	 link: http://tieba.baidu.com//p/7234635184 	 name: 仓鼠不开森 	 time: 2-21 	 replayNum: 2
title: 又一年要过去啦 	 link: http://tieba.baidu.com//p/7224591165 	 name: 玺子 	 time: 2-10 	 replayNum: 1
title: 求问这个场景是第几季第几季里的呢？ 	 link: http://tieba.baidu.com//p/7220390087 	 name: 那片天空... 	 time: 2-6 	 replayNum: 3
title: Sheldon和Amy是什么时候嘿咻的？ 	 link: http://tieba.baidu.com//p/5081333569 	 name: 大自恋女 	 time: 2017-04 	 replayNum: 26
title: 老哥们 	 link: http://tieba.baidu.com//p/7234361301 	 name: 咯给我突... 	 time: 2-20 	 replayNum: 7
title: 求证：第四季最后一集，佩妮和拉杰真的做了吗？？？ 	 link: http://tieba.baidu.com//p/1320173498 	 name: 小柯net 	 time: 2011-12 	 replayNum: 64
title: 少年希尔顿的s3e6中姥姥看电视剧里女的用东西抽男人脸，那个 	 link: http://tieba.baidu.com//p/6540170224 	 name: 奇谋百出... 	 time: 2020-03 	 replayNum: 2
title: 因为amy看的有点别扭，唉，换一个人该多好啊 	 link: http://tieba.baidu.com//p/7162072827 	 name: 云中君的... 	 time: 2020-12 	 replayNum: 17
title: 《生活大爆炸》将于第 12 季大结局！明年 5 月将全剧终！ 	 link: http://tieba.baidu.com//p/5887025698 	 name: 靡生 	 time: 2018-09 	 replayNum: 174
title: 问下，我记得有一集是有一个女**，各种勾引男室友，最后勾引到 	 link: http://tieba.baidu.com//p/7227799212 	 name: hello胡 	 time: 2-14 	 replayNum: 2
title: 有一集是“我们来工作是为了钱” 	 link: http://tieba.baidu.com//p/6035710810 	 name: 235637561 	 time: 2019-02 	 replayNum: 9
title: 突然发现莱纳德出演过时间规划局 	 link: http://tieba.baidu.com//p/7215367769 	 name: 终自语 	 time: 2-2 	 replayNum: 3
title: 现在在看第八季，感觉笑点没有之前有意思了，是不是后面部分质量 	 link: http://tieba.baidu.com//p/7196401568 	 name: 潇湘夜雨 	 time: 1-18 	 replayNum: 3
title: 有没有人注意到生活大爆炸里的地质学博士Bert曾经演过老友记 	 link: http://tieba.baidu.com//p/6689155745 	 name: TiNa 	 time: 2020-05 	 replayNum: 15
title: 谢耳朵36岁了，有6.5万刀的存款... 	 link: http://tieba.baidu.com//p/5681716252 	 name: 俺说要有光 	 time: 2018-05 	 replayNum: 77
title: 看到这一集我才知道 原来爱迪生 是如此小人，真正的伟人、天才 	 link: http://tieba.baidu.com//p/5836652012 	 name: 擱淺 	 time: 2018-08 	 replayNum: 36
title: 这个妹子是谁！感觉她是我在生活大爆炸里看上的第二个妹子 	 link: http://tieba.baidu.com//p/4342200517 	 name: QuineOliver 	 time: 2016-02 	 replayNum: 50
title: 求解：有人说《生活大爆炸》抄袭《老友记》？？？？ 	 link: http://tieba.baidu.com//p/1159703639 	 name: 171634 	 time: 2014-02 	 replayNum: 146
title: 这结局我不认同，凭什么这样对拉杰 	 link: http://tieba.baidu.com//p/6136147074 	 name: zmeaichan666 	 time: 2019-05 	 replayNum: 57
title: 在《侏罗纪世界》里看到了斯图尔特的女朋友 	 link: http://tieba.baidu.com//p/7222356858 	 name: thomastang888 	 time: 2-8 	 replayNum: 1
title: 只有我一个很烦罐头笑声吗 	 link: http://tieba.baidu.com//p/7173494227 	 name: 百惠传说 	 time: 2020-12 	 replayNum: 5
title: 这个客串是不是越狱4那个特工 	 link: http://tieba.baidu.com//p/7221000377 	 name: ljszzz 	 time: 2-7 	 replayNum: 1
title: 好像莱纳德啊 	 link: http://tieba.baidu.com//p/7188966533 	 name: 百惠传说 	 time: 1-11 	 replayNum: 4
title: 我就想知道raj看着安努是怎么下得去嘴的 	 link: http://tieba.baidu.com//p/6074602447 	 name: 红小兵老丁 	 time: 2019-03 	 replayNum: 9
title: PENNY居然和RAJ上床了。。 	 link: http://tieba.baidu.com//p/1096444332 	 name: 倪昂昂 	 time: 2011-06 	 replayNum: 83
title: 谢耳朵居然是gay 	 link: http://tieba.baidu.com//p/5119138044 	 name: 聪哥 	 time: 2017-05 	 replayNum: 43
title: 重温了一遍生活大爆炸，艾米真是越看越讨厌 	 link: http://tieba.baidu.com//p/6658586235 	 name: 陈冠中2003 	 time: 2020-05 	 replayNum: 8
title: 人生目标 	 link: http://tieba.baidu.com//p/7215018111 	 name: 朵朵花开... 	 time: 2-2 	 replayNum: 0
title: 猜测耳朵的公寓位置到底在哪里？ 	 link: http://tieba.baidu.com//p/7213440296 	 name: funnyknight 	 time: 2-1 	 replayNum: 1
title: 新注册营业执照怎么样才能快速开通抖音小店？ 	 link: http://tieba.baidu.com//p/7212430410 	 name: 阿阿阿阿魏 	 time: 1-31 	 replayNum: 0
title: 霍华德家足够支撑一部衍生剧吗？ 	 link: http://tieba.baidu.com//p/5895984911 	 name: 喝着菊花... 	 time: 2018-09 	 replayNum: 17
title: 谢尔顿没有敲3次门？ 	 link: http://tieba.baidu.com//p/7179340615 	 name: 秋寒秋葵 	 time: 1-4 	 replayNum: 1
title: 爱禽公寓敢说与美剧没联系 	 link: http://tieba.baidu.com//p/2848599676 	 name: Arya 	 time: 2014-03 	 replayNum: 5119
title: 请教各位～ 	 link: http://tieba.baidu.com//p/7205414860 	 name: 小饼干是... 	 time: 1-25 	 replayNum: 5
title: 终于找到谢尔顿他们竞选终身教授的结局了 	 link: http://tieba.baidu.com//p/6276821435 	 name: 贫乏姐妹... 	 time: 2019-09 	 replayNum: 7
title: 大家觉得小谢尔顿能拍到多少季？ 	 link: http://tieba.baidu.com//p/5861982673 	 name: 耳朵Moonpie 	 time: 2018-08 	 replayNum: 21
title: 实业报国，荣盛发展的多方位回馈社会一览 	 link: http://tieba.baidu.com//p/7204242374 	 name: 山寺桃花 	 time: 1-24 	 replayNum: 6
title: 谢耳朵的手表是牌子的呀 	 link: http://tieba.baidu.com//p/7205629095 	 name: 爱迪生爱... 	 time: 1-25 	 replayNum: 0
title: 有没有熟悉美国公用洗衣房的，进来八一八！ 	 link: http://tieba.baidu.com//p/3501145082 	 name: EVE的大灰灰 	 time: 2015-01 	 replayNum: 79
title: 生活大爆炸各类Q图 	 link: http://tieba.baidu.com//p/1271829017 	 name: wuyahanannie 	 time: 2013-10 	 replayNum: 561
title: 《生活大爆炸》主创专访 	 link: http://tieba.baidu.com//p/5987813784 	 name: 威武的小... 	 time: 2018-12 	 replayNum: 28
title: 一起来涨姿势吧，生活大爆炸每一集知识详解 	 link: http://tieba.baidu.com//p/4664329650 	 name: 幽寒淡冷 	 time: 2016-07 	 replayNum: 887
title: 2016年1月1日挖坟，留名的都是元老 	 link: http://tieba.baidu.com//p/3500303828 	 name: sptlyj 	 time: 2015-01 	 replayNum: 497
title: S活大爆炸整理好 	 link: http://tieba.baidu.com//p/7192967095 	 name: 1469053946s 	 time: 1-15 	 replayNum: 1
title: 少年谢尔顿的老爸出演者？ 	 link: http://tieba.baidu.com//p/5511743012 	 name: l_xiaomo 	 time: 2018-01 	 replayNum: 6
title: 大爆炸整理好 	 link: http://tieba.baidu.com//p/7190427658 	 name: 1469053946s 	 time: 1-13 	 replayNum: 5
title: tbbt除了小谢尔顿还有什么衍生剧电影之类的可能吗 	 link: http://tieba.baidu.com//p/7189360774 	 name: 寰年ss 	 time: 1-12 	 replayNum: 0
title: 感觉有点细思极恐啊 	 link: http://tieba.baidu.com//p/7166343344 	 name: 清纯鹿... 	 time: 2020-12 	 replayNum: 11
title: 好像重来没提过星际之门 	 link: http://tieba.baidu.com//p/7173390349 	 name: mammew 	 time: 2020-12 	 replayNum: 4
title: 霍华德是后期最暖的人了吧？ 	 link: http://tieba.baidu.com//p/7173276951 	 name: 陈雪绮 	 time: 2020-12 	 replayNum: 2
title: 宁为石楠————荣盛物业中的神奇“百变小樱” 	 link: http://tieba.baidu.com//p/7187546003 	 name: 河滩月色 	 time: 1-10 	 replayNum: 1
title: 如何给不同年龄段的孩子选择毛绒玩具？ 	 link: http://tieba.baidu.com//p/7185132567 	 name: 家中有喜b... 	 time: 1-8 	 replayNum: 2
title: 刚看完12季，我想确认一下，拉杰和印度女友是分手了吗？感觉挺 	 link: http://tieba.baidu.com//p/6999013218 	 name: 牛蛙麻麻 	 time: 2020-10 	 replayNum: 4
title: 漫画店到底在什么位置 	 link: http://tieba.baidu.com//p/2496550890 	 name: 黯升风语 	 time: 2013-07 	 replayNum: 28
title: 老友记和生活大爆炸里都出现过的演员 	 link: http://tieba.baidu.com//p/7180935807 	 name: 国斗菌 	 time: 1-5 	 replayNum: 1
title: 《生活大爆炸》S11：永不凋零的成长 	 link: http://tieba.baidu.com//p/5704006740 	 name: opllx的影子 	 time: 2018-05 	 replayNum: 31
